frame_index,timestamp_ms,hand_detected,detection_confidence,tracking_confidence,l0_x,l0_y,l0_z,l1_x,l1_y,l1_z,l2_x,l2_y,l2_z,l3_x,l3_y,l3_z,l4_x,l4_y,l4_z,l5_x,l5_y,l5_z,l6_x,l6_y,l6_z,l7_x,l7_y,l7_z,l8_x,l8_y,l8_z,l9_x,l9_y,l9_z,l10_x,l10_y,l10_z,l11_x,l11_y,l11_z,l12_x,l12_y,l12_z,l13_x,l13_y,l13_z,l14_x,l14_y,l14_z,l15_x,l15_y,l15_z,l16_x,l16_y,l16_z,l17_x,l17_y,l17_z,l18_x,l18_y,l18_z,l19_x,l19_y,l19_z,l20_x,l20_y,l20_z
0,0,True,0.9977,0.9977,0.321564,0.747788,1e-06,0.426397,0.724937,-0.011486,0.517059,0.682781,-0.041603,0.583287,0.674971,-0.076279,0.640003,0.688783,-0.111811,0.518587,0.501884,-0.068539,0.576222,0.412314,-0.11599,0.619966,0.344171,-0.14853,0.651354,0.273156,-0.17347,0.459115,0.487847,-0.093638,0.544775,0.544341,-0.1489,0.563366,0.659448,-0.163426,0.559753,0.720582,-0.169445,0.392186,0.522203,-0.117716,0.473764,0.609202,-0.168866,0.482011,0.711058,-0.154524,0.46467,0.742158,-0.13883,0.330446,0.578815,-0.142961,0.404376,0.646779,-0.177379,0.421216,0.717705,-0.161634,0.411651,0.737006,-0.145597
1,33,True,0.9992,0.9992,0.362943,0.775487,1e-06,0.448345,0.748214,-0.023048,0.527156,0.698248,-0.060442,0.588035,0.674031,-0.101949,0.639171,0.657242,-0.143,0.515475,0.492786,-0.068769,0.579912,0.384454,-0.123847,0.627704,0.30715,-0.157674,0.663281,0.245663,-0.180393,0.452136,0.472363,-0.091526,0.553386,0.523833,-0.164431,0.568474,0.64106,-0.178093,0.555602,0.708112,-0.175035,0.389301,0.498172,-0.116066,0.486089,0.596028,-0.179734,0.489355,0.692905,-0.163232,0.469979,0.72883,-0.139378,0.332623,0.551556,-0.143384,0.412075,0.622538,-0.179485,0.432775,0.696867,-0.160517,0.427248,0.729066,-0.138165
2,66,True,0.9987,0.9987,0.369764,0.774917,0.0,0.461162,0.746775,-0.020622,0.540575,0.701498,-0.058632,0.601529,0.677166,-0.10248,0.643821,0.646309,-0.147286,0.519585,0.48179,-0.06097,0.583223,0.372991,-0.115401,0.626965,0.296625,-0.147647,0.657395,0.23225,-0.168589,0.455055,0.46622,-0.084107,0.562456,0.506088,-0.151717,0.573269,0.624316,-0.162207,0.556122,0.676713,-0.157388,0.393173,0.495833,-0.109153,0.492135,0.584288,-0.169999,0.492922,0.68166,-0.151303,0.470547,0.709082,-0.126418,0.337031,0.551288,-0.136682,0.414845,0.613472,-0.169935,0.434853,0.690037,-0.146869,0.427422,0.7212,-0.121607
3,100,True,0.9983,0.9983,0.376797,0.777235,0.0,0.471183,0.744305,-0.018346,0.55126,0.69624,-0.056263,0.613095,0.670012,-0.100918,0.655319,0.635671,-0.146564,0.524245,0.475365,-0.056576,0.585545,0.363672,-0.111434,0.628515,0.285786,-0.143841,0.656738,0.21935,-0.164699,0.461591,0.461457,-0.081051,0.575248,0.487023,-0.148071,0.583836,0.602308,-0.158653,0.56237,0.647701,-0.153687,0.403552,0.492238,-0.107491,0.507921,0.570746,-0.169473,0.509018,0.670789,-0.151059,0.485696,0.698016,-0.125607,0.351835,0.54931,-0.136083,0.431998,0.605579,-0.17046,0.451672,0.682308,-0.147635,0.443207,0.71295,-0.122148
4,133,True,0.9988,0.9988,0.380077,0.786696,0.0,0.47581,0.749287,-0.015569,0.556564,0.696015,-0.050061,0.619725,0.666027,-0.091719,0.671351,0.631849,-0.133903,0.528195,0.478433,-0.051649,0.586068,0.360332,-0.105118,0.629981,0.28149,-0.136938,0.660672,0.214482,-0.157336,0.468294,0.465037,-0.076967,0.584934,0.473481,-0.147502,0.598862,0.582676,-0.162452,0.578678,0.640185,-0.158783,0.413664,0.495214,-0.103765,0.522307,0.565436,-0.167249,0.526484,0.666387,-0.15215,0.504738,0.705295,-0.127216,0.365539,0.552347,-0.132495,0.450504,0.607481,-0.168318,0.47094,0.683344,-0.148814,0.462567,0.718278,-0.124523
5,166,True,0.9989,0.9989,0.391708,0.794754,0.0,0.487807,0.758063,-0.017869,0.569231,0.703632,-0.053182,0.631733,0.672596,-0.095297,0.677197,0.63376,-0.13725,0.538951,0.480068,-0.050153,0.592703,0.359823,-0.101515,0.635841,0.27977,-0.13253,0.667082,0.215404,-0.152269,0.477373,0.468513,-0.073674,0.588273,0.468753,-0.139295,0.608965,0.569436,-0.15429,0.595386,0.62722,-0.152268,0.422859,0.499385,-0.099079,0.535,0.566368,-0.15832,0.543117,0.665342,-0.144159,0.521661,0.705821,-0.121434,0.376765,0.557882,-0.126811,0.466387,0.612686,-0.159639,0.488873,0.686324,-0.140754,0.479708,0.720964,-0.117987
6,200,True,0.9986,0.9986,0.389147,0.805194,0.0,0.488819,0.770549,-0.019665,0.574069,0.713877,-0.05297,0.637073,0.680335,-0.091733,0.686339,0.64104,-0.130109,0.544172,0.49048,-0.055924,0.594368,0.366966,-0.108635,0.636056,0.28444,-0.142022,0.669559,0.219038,-0.163544,0.484436,0.4782,-0.078458,0.593266,0.488887,-0.146385,0.63441,0.584268,-0.164768,0.642038,0.655195,-0.165177,0.429433,0.51137,-0.102574,0.537277,0.583652,-0.160712,0.555366,0.678129,-0.149385,0.54671,0.726813,-0.129393,0.383712,0.572201,-0.129573,0.468737,0.633145,-0.161608,0.4958,0.705971,-0.144366,0.497515,0.74812,-0.12299
7,233,True,0.9991,0.9991,0.406579,0.81029,0.0,0.511001,0.791717,-0.01674,0.597469,0.745284,-0.052575,0.653658,0.71058,-0.095655,0.696959,0.687266,-0.137763,0.578344,0.519759,-0.058107,0.607918,0.371953,-0.119852,0.65346,0.333722,-0.155874,0.686759,0.326512,-0.175901,0.508777,0.504731,-0.081399,0.603514,0.509644,-0.14743,0.628604,0.631132,-0.156639,0.615874,0.702224,-0.151932,0.443336,0.539274,-0.107859,0.530066,0.620228,-0.159548,0.543935,0.71035,-0.137811,0.521487,0.73983,-0.114649,0.387706,0.603158,-0.137395,0.459671,0.681635,-0.160314,0.476152,0.743763,-0.135759,0.454254,0.756164,-0.112745
8,266,True,0.8761,0.8761,0.510395,0.49227,-0.0,0.415591,0.58792,-0.033808,0.35107,0.731874,-0.107362,0.313436,0.842366,-0.184336,0.309267,0.89061,-0.268032,0.369427,0.654878,-0.167916,0.397638,0.802925,-0.250018,0.429303,0.846137,-0.298069,0.436611,0.831923,-0.33046,0.442875,0.596358,-0.19096,0.504835,0.76417,-0.252129,0.523043,0.826299,-0.264454,0.520102,0.80054,-0.283777,0.524893,0.55017,-0.210528,0.586776,0.713188,-0.264859,0.586367,0.784069,-0.253828,0.567637,0.758564,-0.252628,0.60822,0.520061,-0.233321,0.658786,0.673606,-0.26167,0.641488,0.742299,-0.245457,0.609866,0.731397,-0.240595
9,300,True,0.603,0.603,0.444302,0.783315,-0.0,0.405822,0.798927,-0.035117,0.356292,0.825017,-0.077702,0.315099,0.891365,-0.110941,0.30622,0.941366,-0.147372,0.506678,0.658362,-0.178621,0.566254,0.877913,-0.237809,0.530637,0.909522,-0.254761,0.510106,0.866144,-0.255375,0.529236,0.650394,-0.181542,0.577134,0.924253,-0.232357,0.532063,0.942957,-0.227426,0.505901,0.891195,-0.226353,0.528726,0.682711,-0.17864,0.561915,0.937577,-0.228304,0.52771,0.932154,-0.210051,0.498604,0.873095,-0.194416,0.520549,0.736439,-0.175758,0.540274,0.932509,-0.210607,0.509607,0.923266,-0.195973,0.479974,0.868115,-0.18571
